"Reference","Value","Datasheet","Footprint","Qty","DNP","Digikey PN","LCSC #"
"C9,C10,C11,C12,C13,C14,C15,C16,C17","10n","~","Capacitor_SMD:C_0603_1608Metric","9","","","C57112"
"C18,C19","C_Small","~","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","2","","",""
"D1,D2,D3,D4","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Diode_SMD:D_SOD-323_HandSoldering","4","","","C2128"
"HS1","Socket","~","","1","","AE11103-ND",""
"J1,J2","Conn_01x10_Pin","~","Connector_JST:JST_ZH_B10B-ZR_1x10_P1.50mm_Vertical","2","","455-S10B-ZR-ND",""
"J4,J5,J6","Conn_Coaxial","~","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount","3","","ACX1426-ND",""
"R1,R2,R3,R4","100","~","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","4","","","C22775"
"R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17","220","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","12","","","C17557"
"R15","220","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","",""
"R18,R19,R20,R21","2.2k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4","","",""
"U1","MAX9693","https://www.analog.com/media/en/technical-documentation/data-sheets/MAX9691-MAX9693.pdf","Package_DIP:DIP-16_W7.62mm_LongPads","1","","MAX9693EPE+-ND",""
"U2,U3,U4,U5","MC10H016P","","Package_DIP:DIP-16_W7.62mm_LongPads","4","","MC10H016PGOS-ND",""
"U6","AD9901PLCC_ECL","","Package_LCC:PLCC-20_THT-Socket","1","","AD9901KPZ-ND",""
"U7","AD823","","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","1","","AD823ANZ-ND",""
