Designator,Mid X,Mid Y,Rotation,Layer
C10,119.075,-125.8,270.0,top
C11,103.425,-103.5,90.0,top
C12,127.925,-103.5,90.0,top
C13,103.425,-84.0,90.0,top
C14,127.925,-84.0,90.0,top
C15,173.465,-103.08,270.0,top
C16,157.0,-123.5,180.0,top
C17,164.725,-111.0,0.0,top
C9,131.775,-125.8,90.0,top
D1,168.41,-87.08,0.0,top
D2,163.965,-87.08,0.0,top
D3,168.41,-106.08,0.0,top
D4,163.965,-106.08,0.0,top
R1,124.0,-139.5,180.0,top
R10,139.425,-91.0,180.0,top
R11,159.5,-87.08,180.0,top
R12,159.52,-106.08,180.0,top
R13,154.465,-93.08,270.0,top
R14,154.465,-100.08,90.0,top
R16,183.725,-120.0,270.0,top
R17,183.725,-114.5,90.0,top
R2,140.0,-139.5,180.0,top
R3,117.0,-139.5,0.0,top
R4,133.0,-139.5,0.0,top
R5,119.925,-110.5,0.0,top
R6,134.5,-110.5,180.0,top
R7,114.925,-110.5,180.0,top
R8,139.425,-110.5,180.0,top
R9,115.425,-91.0,180.0,top
